id,covered_text,GoldFaceAct,seed,email_id,pair_idx,is_request,sentence_idx
1,"Your recent participation in the team has been underwhelming, and I suggest you reevaluate your contributions.","HPos-, HNeg-",1,1,1.0,1,0
2,I've attached a list of trading research tasks that require immediate attention.,HNeg-,1,1,1.0,1,1
3,"Given the lackluster effort shown in the past, I think you should focus on working with the team more effectively this time.","HPos-, HNeg-",1,1,1.0,1,2
4,The following documents highlight areas that need thorough analysis and action.,HNeg-,1,1,1.0,1,3
5,Make sure to prioritize this work before anything else.,HNeg-,1,1,1.0,1,4
6,It's paramount you elevate your standards if you intend on remaining a valuable team member.,HNeg-,1,1,1.0,1,5
7,"Unfortunately, time for leniency has expired, so consider this a last call to prove your capability in making strategic decisions.",HNeg-,1,1,1.0,1,6
8,I appreciate your generous feedback.,HPos+,1,2,1.0,0,0
9,I apologize if my recent work didn’t quite meet your expectations.,SPos-,1,2,1.0,0,1
10,I’m enthusiastic about dedicating my efforts to the trading research tasks you’ve highlighted and am eager to improve my team collaboration.,SPos+,1,2,1.0,0,2
11,"Thank you for the opportunity to enhance these areas, and I’m committed to significantly improving my contributions.","HPos+, SPos+",1,2,1.0,0,3
12,Please don’t hesitate to let me know if there are specific aspects you’d like me to address.,HPos+,1,2,1.0,0,4
13,"I have noticed some areas for improvement in your recent contributions to the team, and I think it would be beneficial to review your work and enhance your involvement.","HPos-, HNeg+",1,3,2.0,1,0
14,Attached is a list of trading research tasks that need your immediate attention.,HNeg-,1,3,2.0,1,1
15,It would be helpful for the team if you could focus more on collaborating effectively this time.,HNeg+,1,3,2.0,1,2
16,The documents highlight specific areas needing detailed analysis and action.,HNeg-,1,3,2.0,1,3
17,"Please prioritize this work as it is important for maintaining our team's standards, and I trust you understand the significance of stepping up in your role.",HNeg-,1,3,2.0,1,4
18,This will be a great opportunity to showcase your strategic decision-making capabilities.,HNeg+,1,3,2.0,1,5
19,I apologize if my recent efforts have not fully met expectations.,SPos-,1,4,2.0,0,0
20,I will focus on the trading research tasks you've provided and strive to improve how I collaborate with the team.,HPos+,1,4,2.0,0,1
21,I appreciate the opportunity to work on these areas and am dedicated to enhancing the quality of my contributions.,HPos+,1,4,2.0,0,2
22,Please let me know if there are specific aspects you would like me to prioritize.,HNeg+,1,4,2.0,0,3
23,I appreciate your efforts in the team so far.,HPos+,1,5,3.0,1,0
24,I believe there are opportunities for us to refine them further for greater impact.,HNeg+,1,5,3.0,1,1
25,Attached is a list of crucial trading research tasks that need your urgent attention.,HNeg-,1,5,3.0,1,2
26,It would be wonderful to see a renewed focus on enhancing team collaboration this time around.,HNeg+,1,5,3.0,1,3
27,These documents highlight key points that could benefit from your thorough analysis.,HNeg+,1,5,3.0,1,4
28,Could you please prioritize this work?,HNeg+,1,5,3.0,1,5
29,It's important for us to uphold our team's high standards.,HNeg-,1,5,3.0,1,6
30,This will allow you to demonstrate your valuable skills in strategic decision-making more effectively.,"HPos+, HNeg+",1,5,3.0,1,7
31,Thank you very much for your feedback.,HPos+,1,6,3.0,0,0
32,I’m sorry if my recent work hasn’t quite matched expectations.,SPos-,1,6,3.0,0,1
33,I’m eager to delve into the trading research tasks and will make concerted efforts to improve my collaboration with the team.,SPos+,1,6,3.0,0,2
34,"Thank you for the chance to refine these aspects, and I’m committed to enhancing the impact of my contributions.",SPos+,1,6,3.0,0,3
35,Let me know if there are specific areas you’d like me to focus on.,HNeg+,1,6,3.0,0,4
36,Thank you for your ongoing dedication to our team.,HPos+,1,7,4.0,1,0
37,I believe there is potential for even greater success if we revisit our approach.,SPos+,1,7,4.0,1,1
38,I’m sending you a list of essential trading research tasks that would greatly benefit from your expertise and immediate attention.,HNeg-,1,7,4.0,1,2
39,"Enhancing your collaboration with the team could yield substantial improvements, and the documents attached offer significant insights needing your detailed analysis.",HNeg+,1,7,4.0,1,3
40,"If you could make this work a priority, it would be much appreciated.",HNeg+,1,7,4.0,1,4
41,It will provide a wonderful opportunity to highlight your strengths in strategic decision-making.,"HPos+, HNeg+",1,7,4.0,1,5
42,I apologize if my recent efforts haven’t met expectations.,SPos-,1,8,4.0,0,0
